                    Delta Records                    
+---------------------------------------------------+
| Type    | From | To | Old   | New          | Risk |
|---------+------+----+-------+--------------+------|
| added   | v1   | v2 |       | BR-OBS-003   | high |
| added   | v1   | v2 |       | BR-MQTT-005  | high |
| added   | v1   | v2 |       | flow         | high |
| added   | v1   | v2 |       | BR-CHAOS-005 | high |
| added   | v1   | v2 |       | BR-MQTT-003  | high |
| added   | v1   | v2 |       | BR-MQTT-001  | high |
| added   | v1   | v2 |       | MQTT         | high |
| added   | v1   | v2 |       | Modbus       | high |
| added   | v1   | v2 |       | BR-OBS-004   | high |
| added   | v1   | v2 |       | BR-CHAOS-002 | high |
| added   | v1   | v2 |       | BR-SEC-005   | high |
| added   | v1   | v2 |       | BR-OBS-002   | high |
| added   | v1   | v2 |       | design       | high |
| added   | v1   | v2 |       | BR-CHAOS-001 | high |
| removed | v1   | v2 | Cloud |              | high |
| added   | v1   | v2 |       | BR-MQTT-004  | high |
| added   | v1   | v2 |       | BR-MQTT-002  | high |
| added   | v1   | v2 |       | BR-CHAOS-004 | high |
| added   | v1   | v2 |       | BR-OBS-001   | high |
| added   | v1   | v2 |       | BR-CHAOS-003 | high |
+---------------------------------------------------+
